fnumber,label,accuracy,left x,top y,width,height
23,KIA,100,1190,186,22,29
23,KIA,100,1219,205,19,30
23,KIA,98,1250,228,24,28
24,KIA,99,26,222,21,28
24,KIA,100,86,177,18,28
24,JACOBS_CREEK,100,184,23,98,43
24,IBM,100,218,105,46,21
24,FLY_EMIRATES,100,304,25,87,36
24,KIA,100,356,267,48,24
24,KIA,100,422,23,87,44
24,MELBOURNE,100,479,618,310,35
24,KIA,100,535,22,85,44
24,KIA,100,647,22,86,45
24,KIA,100,760,21,87,47
24,KIA,100,866,269,48,24
24,ANZ,100,888,20,107,42
24,ANZ,100,1023,25,103,41
24,ROLEX,100,1047,84,25,18
24,FLY_EMIRATES,100,1156,32,75,42
24,KIA,100,1190,186,22,28
24,KIA,100,1218,205,19,30
24,KIA,99,1250,228,24,28
25,KIA,100,26,222,21,28
25,KIA,100,86,177,18,27
25,JACOBS_CREEK,100,184,23,97,43
25,IBM,100,218,105,46,21
25,FLY_EMIRATES,100,304,25,87,37
25,KIA,100,356,267,48,24
25,KIA,100,423,23,87,44
25,MELBOURNE,100,473,620,319,32
25,KIA,100,535,22,85,44
25,KIA,100,647,22,85,45
25,KIA,100,761,21,86,46
25,KIA,100,866,269,48,24
25,ANZ,100,889,21,106,41
25,ANZ,100,1023,25,103,41
25,ROLEX,100,1048,84,25,18
25,FLY_EMIRATES,100,1156,33,75,42
25,KIA,100,1190,186,22,29
25,KIA,100,1219,205,19,30
25,KIA,99,1250,228,24,28
26,KIA,100,26,222,21,27
26,KIA,100,86,177,18,27
26,JACOBS_CREEK,100,184,24,98,43
26,IBM,100,218,105,46,21
26,FLY_EMIRATES,100,304,25,87,37
26,KIA,100,356,267,48,24
26,KIA,100,422,23,87,44
26,MELBOURNE,100,471,619,321,33
26,KIA,100,535,22,85,44
26,KIA,100,647,22,86,46
26,KIA,100,761,21,86,46
26,KIA,100,866,269,48,24
26,ANZ,100,888,20,107,42
26,ANZ,100,1022,25,104,41
26,ROLEX,100,1048,84,25,18
26,FLY_EMIRATES,100,1156,33,74,41
26,KIA,100,1190,186,22,29
26,KIA,100,1219,205,18,30
26,KIA,99,1250,228,24,28
27,KIA,100,26,222,22,28
27,KIA,100,86,177,18,27
27,JACOBS_CREEK,100,183,24,99,43
27,IBM,100,217,105,47,21
27,FLY_EMIRATES,100,303,25,88,37
27,KIA,100,356,267,49,24
27,KIA,100,421,23,89,44
27,MELBOURNE,100,477,620,312,30
27,KIA,100,535,22,85,45
27,KIA,100,647,21,86,45
27,KIA,100,762,21,85,46
27,KIA,100,866,269,48,24
27,ANZ,100,888,20,108,42
27,ANZ,100,1023,25,103,41
27,ROLEX,100,1047,84,25,18
27,FLY_EMIRATES,100,1157,33,70,43
27,KIA,100,1190,186,22,29
27,KIA,100,1219,205,18,30
27,KIA,99,1250,228,24,28
28,KIA,100,26,222,21,27
28,KIA,100,86,177,18,27
28,JACOBS_CREEK,100,183,23,99,43
28,IBM,100,217,105,47,21
28,FLY_EMIRATES,100,304,24,88,37
28,KIA,100,356,267,49,24
28,KIA,100,421,22,89,44
28,MELBOURNE,100,479,620,310,31
28,KIA,100,535,22,85,45
28,KIA,100,647,21,86,45
28,KIA,100,761,21,86,46
28,KIA,100,866,269,48,24
28,ANZ,100,888,20,108,41
28,ANZ,100,1023,25,103,41
28,ROLEX,100,1048,84,25,18
28,FLY_EMIRATES,100,1157,33,70,43
28,KIA,100,1190,186,22,29
28,KIA,100,1219,205,18,30
28,KIA,99,1250,228,24,28
29,KIA,100,26,222,21,28
29,KIA,100,86,177,18,28
29,JACOBS_CREEK,100,183,24,99,43
29,IBM,100,217,105,47,21
29,FLY_EMIRATES,100,304,24,87,37
29,KIA,100,356,267,49,24
29,KIA,100,422,23,88,44
29,MELBOURNE,100,474,620,317,32
29,KIA,100,535,22,85,44
29,KIA,100,647,21,86,45
29,KIA,100,761,21,86,46
29,KIA,100,866,269,48,24
29,ANZ,100,887,20,109,41
29,ANZ,100,1022,25,104,41
29,ROLEX,100,1048,84,25,18
29,FLY_EMIRATES,100,1157,33,70,43
29,KIA,100,1190,185,22,29
29,KIA,100,1219,205,18,30
29,KIA,99,1250,228,24,28
30,KIA,100,26,222,21,27
30,KIA,100,86,177,17,28
30,JACOBS_CREEK,100,183,23,99,43
30,IBM,100,217,105,47,21
30,FLY_EMIRATES,100,304,24,87,37
30,KIA,100,356,267,48,24
30,KIA,100,422,23,88,44
30,MELBOURNE,100,474,619,318,33
30,KIA,100,535,22,85,44
30,KIA,100,647,21,86,45
30,KIA,100,761,20,86,46
30,KIA,100,866,269,48,24
30,ANZ,100,889,20,106,41
30,ANZ,100,1023,25,104,41
30,ROLEX,100,1048,84,24,18
30,FLY_EMIRATES,100,1157,33,70,43
30,KIA,100,1190,186,22,29
30,KIA,100,1219,205,18,30
30,KIA,99,1250,228,24,28
